zip,cbsa,geo_name,rpp
60131,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60133,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60134,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60135,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60135,40420,"Rockford, IL ",86.9
60136,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60137,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60138,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60139,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60140,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60141,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60142,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60143,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60144,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60145,40420,"Rockford, IL ",86.9
60145,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60146,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60146,40420,"Rockford, IL ",86.9
60146,40300,NA,NA
60147,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60148,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60150,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60151,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60152,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60152,40420,"Rockford, IL ",86.9
60153,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60154,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60155,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60156,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60157,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60159,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60160,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60161,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60162,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60163,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60164,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60165,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60168,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60169,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60171,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60172,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60173,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60174,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60175,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60176,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60177,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60178,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60179,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60180,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60181,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60183,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60184,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60185,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60186,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60187,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60188,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60189,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60190,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60191,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60192,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60193,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60194,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60195,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60196,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60199,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60201,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60202,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60203,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60204,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60208,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60301,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60302,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60303,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60304,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60305,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60401,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60401,28100,"Kankakee, IL ",92.9
60402,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60403,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60404,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60406,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60407,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60408,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60409,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60410,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60411,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60412,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60415,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60416,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60417,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60418,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60419,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60420,38700,NA,NA
60420,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60421,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
